Suhu;Kelembaban;Angin;Cuaca
284.588.038.826.775;968.980.293.321.767;128.070.351.794.423;Berawan
3.582.321.827.907;84.592.708.260.852;888.567.740.201.262;Hujan
304.123.620.762.159;770.346.363.586.722;118.317.572.358.514;Berawan
182.016.493.806.011;7.178.614.158.347;102.199.539.015.652;Berawan
276.277.704.211.691;801.443.883.405.874;150.893.691.048.701;Berawan
237.142.122.179.185;654.445.955.939.957;599.396.692.386.969;Berawan
332.856.111.310.945;609.253.622.562.344;983.711.540.044.656;Cerah
216.955.802.283.247;0.075865897874729;81.305.784.207.257;Berawan
260.394.592.343.392;867.944.012.072.128;117.793.037.739.051;Hujan
184.061.439.235.047;821.161.487.808.888;106.330.524.016.078;Hujan
308.039.226.318.411;0.940941664047013;845.186.581.534.787;Hujan
295.712.366.629.763;718.973.324.340.654;12.177.299.871.696;Berawan
303.105.173.713.163;528.886.469.099.211;153.836.735.905.533;Cerah
300.639.046.346.824;727.903.040.046.677;789.047.072.462.233;Berawan
330.176.644.894.601;751.259.240.078.179;14.511.978.965.748;Berawan
296.204.198.469.739;7.810.907.565.598;15.546.868.284.836;Berawan
234.530.627.260.263;92.553.408.424.432;486.949.482.203.012;Hujan
328.777.256.356.117;667.276.905.644.767;956.691.876.422.817;Cerah
290.443.179.750.237;667.450.280.320.748;124.695.117.518.857;Berawan
245.998.763.921.075;651.427.395.366.445;7.072.380.241.068;Berawan
352.676.703.857.865;781.125.015.454.353;925.744.409.334.548;Berawan
2.938.345.399.665;914.496.771.350.128;118.654.298.866.515;Hujan
276.399.493.920.983;772.409.248.181.041;923.506.834.773.743;Berawan
182.395.610.023.874;774.822.058.630.033;0.155401219772081;Berawan
257.674.252.396.648;749.202.735.868.338;112.888.546.573.977;Berawan
253.511.989.811.648;0.845042383818605;121.328.799.046.104;Berawan
25.482.621.729.419;574.126.051.357.688;766.508.582.379.306;Berawan
310.583.814.442.043;734.006.147.003.657;668.042.227.377.498;Berawan
309.415.860.324.228;66.501.556.305.352;892.212.372.763.882;Cerah
235.524.278.518.723;722.494.830.284.835;121.232.558.063.664;Berawan
309.342.854.690.013;814.537.594.958.514;105.125.963.143.838;Hujan
256.526.280.703.252;804.709.738.117.003;466.383.925.328.716;Hujan
218.456.784.178.302;744.445.230.110.338;130.431.101.950.543;Berawan
234.598.796.223.939;782.416.635.248.844;114.430.276.952.101;Berawan
353.282.438.446.077;759.699.596.499.271;762.857.663.366.406;Berawan
24.998.915.614.206;827.086.519.388.696;106.713.638.549.166;Hujan
0.320643105941948;705.570.673.992.388;13.619.526.899.525;Berawan
0.027702373219691;957.540.079.864.543;54.527.676.550.083;Hujan
269.593.887.482.136;757.156.623.721.939;12.461.446.543.592;Berawan
278.208.698.044.502;895.114.360.779.504;897.193.721.775.895;Hujan
283.011.510.497.051;596.588.582.926.437;836.524.273.957.315;Berawan
403.162.105.624.264;0.877767682189851;111.974.083.430.562;Hujan
314.313.009.518.725;683.737.624.105.415;168.966.943.708.577;Cerah
292.994.139.712.421;619.553.049.949.514;115.529.770.614.073;Berawan
0.260734320156912;864.375.404.320.692;135.651.798.203.442;Berawan
208.492.931.101.968;649.191.368.908.259;11.003.370.369.961;Berawan
244.234.814.537.001;775.972.250.172.148;0.873943954871243;Berawan
213.977.169.345.786;656.012.021.367.264;773.385.120.294.003;Berawan
297.180.914.478.423;678.155.577.874.756;930.719.640.937.396;Berawan
247.744.012.269.743;672.699.021.614.453;132.745.205.557.673;Berawan
328.432.249.526.644;79.919.191.715.065;134.779.894.100.927;Berawan
264.944.815.220.535;0.699305682462887;549.057.114.064.568;Berawan
220.434.825.139.867;694.635.069.465.281;742.492.665.945.635;Berawan
305.249.363.949.022;802.980.417.791.528;66.318.339.353.131;Hujan
328.168.806.462.216;0.738767195030917;13.447.819.978.857;Berawan
289.952.984.778.673;773.561.455.810.856;844.716.610.289.148;Berawan
372.613.909.225.446;660.274.562.851.416;145.886.509.583.818;Cerah
230.473.183.743.465;653.507.653.941.989;100.553.017.991.961;Berawan
256.713.512.321.487;0.859877685198719;983.324.598.726.863;Hujan
186.636.740.370.412;804.336.019.237.993;142.280.423.205.567;Berawan
265.415.312.510.336;0.812834550926428;132.825.745.554.128;Berawan
352.063.664.453.305;751.841.837.918.955;946.915.831.751.785;Berawan
217.610.840.901.757;709.192.462.697.844;883.689.532.019.204;Berawan
270.381.951.760.943;783.231.401.197.959;988.709.589.272.545;Berawan
321.359.162.451.801;725.096.396.044.362;528.932.584.032.863;Berawan
0.305751763360433;690.760.607.576.113;106.664.013.149.011;Cerah
206.073.900.481.628;702.896.169.438.167;926.277.080.774.216;Berawan
191.847.992.231.863;728.655.284.828.815;120.886.190.944.402;Berawan
292.098.113.578.301;0.832541634898803;108.399.058.789.594;Hujan
297.850.774.298.252;0.085375399442579;141.464.769.731.125;Berawan
18.433.598.776.711;831.350.963.600.063;662.353.285.810.487;Hujan
270.717.051.166.809;903.273.891.300.257;835.942.317.627.882;Hujan
24.886.502.400.897;664.391.617.409.113;133.261.107.417.487;Berawan
255.731.822.608.544;759.933.230.542.922;102.468.519.678.262;Berawan
299.265.868.986.441;803.891.004.368.465;131.594.585.599.987;Berawan
284.982.568.254.382;855.842.448.684.958;838.072.095.907.191;Hujan
244.897.345.306.132;61.797.667.929.793.500;67.568.100.172.003;Berawan
319.091.143.588.865;816.967.254.883.003;78.227.685.605.396;Hujan
307.128.002.179.298;72.978.073.475.661;144.881.329.344.675;Berawan
322.819.939.716.173;897.994.413.889.002;106.230.630.614.893;Hujan
0.268293152152541;761.732.738.330.878;156.303.874.376.741;Berawan
387.197.204.466.266;0.684816389219784;989.594.533.783.965;Cerah
38.665.166.873.281.200;768.186.625.505.849;120.456.744.688.789;Berawan
305.752.384.315.302;754.852.162.794.482;137.672.683.767.205;Berawan
229.358.443.983.278;818.195.297.129.496;103.281.843.838.146;Hujan
374.839.649.132.697;82.575.077.100.473;153.124.019.069.065;Berawan
269.016.405.608.124;666.027.815.781.922;121.650.161.921.297;Berawan
374.309.295.060.526;64.323.795.706.174;0.615871194251115;Cerah
289.843.061.793.456;693.627.544.719.602;611.476.368.380.915;Berawan
25.696.806.145.201;605.191.565.850.267;190.934.007.117.528;Berawan
240.837.335.383.188;912.861.554.557.129;107.680.892.029.416;Hujan
319.551.597.352.152;956.074.792.488.198;109.234.053.066.761;Hujan
395.732.928.333.675;583.059.471.887.862;844.813.464.969.888;Cerah
31.128.336.738.825;737.208.240.851.923;105.331.030.027.997;Berawan
256.829.115.359.376;728.231.879.677.277;119.630.969.690.621;Berawan
268.159.069.662.999;652.244.475.520.144;126.688.923.868.703;Berawan
218.109.225.058.657;977.069.285.780.439;131.324.826.312.072;Berawan
268.711.184.975.673;809.515.702.543.691;114.144.050.714.079;Hujan
338.158.187.607.747;782.692.737.376.416;586.204.231.595.641;Berawan
356.901.828.323.298;0.799799829124545;37.798.293.027.755.500;Berawan
298.784.900.917.283;829.166.269.396.293;962.263.923.970.105;Hujan
260.745.885.979.184;897.535.621.694.955;133.796.950.886.432;Berawan
262.864.274.173.661;750.524.369.971.818;788.696.892.837.172;Berawan
373.288.725.557.237;739.296.964.004.544;114.799.537.026.426;Berawan
264.236.537.767.982;692.322.866.943.166;130.955.336.184.059;Berawan
347.812.001.428.541;709.877.952.811.416;103.192.906.830.756;Berawan
218.152.464.456.095;786.659.824.609.684;105.603.002.934.312;Berawan
255.788.296.356.687;708.812.303.387.753;828.776.111.875.157;Berawan
2.834.901.042.495;60.214.137.542.201.500;995.073.131.178.174;Berawan
263.896.924.189.716;61.198.985.417.851;129.480.729.518.365;Berawan
226.884.814.313.694;723.059.316.555.544;112.247.582.671.434;Berawan
249.968.065.504.059;812.411.981.705.215;10.167.174.736.866;Hujan
0.284853877467402;660.158.532.865.164;0.891710150254276;Berawan
204.031.501.702.299;78.376.026.620.752;142.615.127.439.695;Berawan
238.039.123.838.868;0.748148686400761;100.417.878.757.388;Berawan
268.292.331.263.833;747.909.840.603.585;112.403.047.096.711;Berawan
256.041.288.107.735;801.934.651.424.117;827.901.397.935.929;Hujan
332.690.102.601.745;806.296.923.669.057;861.317.413.388.487;Hujan
243.481.668.414.143;813.859.245.877.737;596.664.846.689.716;Hujan
264.539.381.207.439;721.134.136.107.986;0.992762473866999;Berawan
283.376.410.234.396;668.177.931.676.652;0.156460734894251;Berawan
313.106.533.726.052;708.471.208.609.919;840.739.368.123.903;Berawan
286.537.028.864.304;714.848.651.595.869;16.030.613.616.299;Berawan
283.428.148.740.301;54.607.678.222.398.800;70.648.816.671.549;Berawan
304.835.707.650.561;667.100.498.907.792;12.270.965.849.936;Cerah
24.991.466.938.853;748.775.322.715.308;492.260.611.085.554;Berawan
178.742.870.667.119;663.958.663.471.604;146.515.014.784.422;Berawan
386.107.809.850.631;86.677.820.616.598;808.783.861.808.044;Hujan
353.894.702.237.075;537.610.427.569.019;0.842643920116068;Cerah
256.403.406.710.528;673.674.084.345.748;866.349.243.579.768;Berawan
237.660.314.096.579;918.714.163.507.256;978.950.286.562.405;Hujan
294.849.233.661.659;644.078.647.811.104;578.001.670.945.533;Berawan
29.070.468.720.651;757.736.830.764.761;108.147.365.115.861;Berawan
280.255.672.832.123;738.546.015.474.738;127.720.810.576.207;Berawan
3.116.959.511.159;754.739.867.131.641;107.026.441.976.095;Berawan
293.052.763.608.994;885.387.237.416.541;624.665.927.084.409;Hujan
220.189.668.795.966;790.171.172.209.894;83.697.256.865.987;Berawan
306.097.078.280.844;69.861.330.826.633;816.544.659.102.415;Cerah
292.877.519.536.138;762.029.563.171.189;375.421.177.634.883;Berawan
280.650.094.593.895;807.655.696.305.576;781.858.847.252.539;Hujan
268.826.860.733.707;674.364.925.471.569;116.793.713.437.931;Berawan
256.252.734.441.952;0.807707212718054;108.675.059.317.234;Hujan
41.600.845.832.948;861.957.491.143.457;11.862.016.292.652;Hujan
209.384.814.933.235;736.985.694.563.231;106.716.520.728.373;Berawan
313.979.887.446.733;659.568.337.489.559;915.464.617.341.847;Cerah
303.679.621.531.759;821.754.225.579.596;489.224.918.728.647;Hujan
29.161.268.485.805;800.404.651.551.784;131.609.253.898.235;Berawan
199.625.838.271.938;543.255.789.996.012;812.554.426.691.296;Berawan
233.108.748.004.243;70.128.746.162.353;907.248.362.959.408;Berawan
274.263.177.926.655;637.029.314.534.238;120.244.584.764.998;Berawan
274.217.585.880.587;774.496.657.110.872;922.122.594.590.918;Berawan
276.144.914.529.294;598.480.893.780.144;118.972.232.171.665;Berawan
294.806.013.853.228;578.686.547.090.912;109.783.990.667.263;Berawan
245.354.520.236.967;698.998.360.114.525;119.461.296.627.689;Berawan
323.287.759.708.506;89.415.686.206.579;111.472.292.385.521;Hujan
472.636.574.532.736;666.904.988.358.896;731.617.809.334.148;Cerah
23.957.531.985.534;67.408.673.384.463;633.361.657.332.416;Berawan
284.093.706.969.316;0.825138712337179;13.196.441.125.196;Berawan
0.208206892441028;917.643.731.227.528;760.510.826.638.463;Hujan
28.227.859.199.519;743.392.020.135.268;698.757.769.974.379;Berawan
263.274.938.207.952;670.310.474.452.952;114.773.537.920.244;Berawan
193.754.108.374.348;880.547.880.715.432;173.372.559.388.504;Berawan
279.325.138.763.103;757.580.455.819.372;952.597.630.426.303;Berawan
318.731.702.671.466;707.901.551.917.973;118.987.954.532.665;Berawan
0.337141140725751;867.929.718.406.382;890.916.336.335.843;Hujan
199.364.206.440.517;807.059.866.859.315;891.148.431.868.102;Hujan
343.345.557.459.331;70.123.937.759.275;750.293.328.068.731;Berawan
258.967.733.861.732;690.062.497.704.622;131.470.276.775.106;Berawan
247.333.538.371.314;7.296.954.613.957;173.659.004.197.326;Berawan
222.851.485.108.468;611.720.026.903.566;100.892.684.184.872;Berawan
276.358.554.367.156;64.184.519.963.856;113.775.402.376.853;Berawan
288.659.046.292.559;902.312.407.726.965;675.683.037.877.521;Hujan
202.466.828.446.693;631.674.148.733.422;10.587.535.765.293;Berawan
233.653.476.421.095;778.977.485.689.641;106.087.690.625.538;Berawan
315.700.024.704.604;607.774.629.040.232;132.423.421.766.638;Cerah
239.209.485.751.728;519.807.883.526.441;831.259.967.231.719;Berawan
242.313.191.782.125;0.692418175935532;154.373.456.739.907;Berawan
308.544.525.534.658;777.045.682.577.983;943.938.506.751.592;Berawan
0.002829104359223;662.438.174.661.524;100.849.551.283.913;Berawan
285.546.129.485.493;628.581.138.721.226;846.635.297.070.644;Berawan
331.623.263.027.557;775.442.084.330.121;135.670.495.933.226;Berawan
251.685.113.519.861;0.818605145999844;11.042.745.116.085;Hujan
271.935.714.416.699;704.993.452.852.075;533.011.247.942.828;Berawan
320.626.291.119.709;819.014.399.171.111;78.614.626.519.685;Hujan
263.616.892.670.111;933.145.876.585.435;118.478.068.208.327;Hujan
312.827.680.431.691;630.212.210.741.115;121.009.296.382.269;Cerah
254.086.489.086.317;697.424.497.831.923;114.681.236.836.837;Berawan
226.112.761.103.534;754.808.494.666.138;843.141.991.854.019;Berawan
350.139.715.546.804;725.103.585.152.092;595.544.373.368.286;Berawan
